codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
130775,ESTACION DE SERVICIOS GAMARRA S.A.C.,20600011007,"AV. LA PAZ Y CALLE GRAN MARISCAL AGUSTIN GAMARRA MESSIA (ANTES JIRON) DENOMINADO LOTE 246, SUBLOTE A,B,C Y D DE LA MZ. 14 URBANIZACIÓN MIRAMAR",SAN MIGUEL,117
131174,INVERSIONES PICORP S.A.C,20428254687,"MZ 1-B LT 02, SUB PARCELA  1-E ( 3RA ETAPA ) NUEVA URB. TORRE BLANCA",CARABAYLLO,109
132204,REPSOL COMERCIAL S.A.C.,20503840121,AV. NICOLAS ARRIOLA N° 2140 ESQUINA CON AV. SAN LUIS,SAN LUIS,224
132211,RED INTERNACIONAL DE COMBUSTIBLE Y SERVICIO AUTOMOTRIZ SRL,20325753821,CARRETERA CENTRAL KM 22.700,CHACLACAYO,91
132388,INVERSIONES PICORP S.A.C.,20428254687,"MZ. 1-B LOTE 02, SUB PARCELA 1-E (3ERA. ETAPA) NUEVA URB. TORRE BLANCA",CARABAYLLO,51
133099,INDUSTRIA METALMECANICA BILCON S.A.C.,20545947391,AV. JOSÉ CARLOS MARIATEGUI N° 1184-1292,VILLA MARIA DEL TRIUNFO,42
133262,MAHANAIM MAGDALENA S.A.C.,20554222499,UNIVERSITARIA S/N CRUCE CON CALLE 2,CARABAYLLO,12
134060,GRUPO SCJ  ONOFRE¿S S.A.C.,20535991091,AV. JOSE CARLOS SACO ROJAS EX HUARANGAL PARCELA 65-LA MOLINA SAN DIEGO,CARABAYLLO,3
134913,INVERSIONES VALUEMI S.A.C.,20555691263,"A.H. PROYECTO INTEGRAL ALIANZA INDUSTRIAL DE LAS LOMAS MZ. C LOTE 5 - SECTOR CRUZ DEL NORTE 1, ZONA BAJA",CARABAYLLO,14
135513,ASESORIA COMERCIAL S.A,20100094569,"AV. LURIGANCHO MZ. B LOTE 10 A,B,C,D, E Y SUB LOTE 10 F1",SAN JUAN DE LURIGANCHO,65
