precio_de_venta;COMPRADA_FE;SUMINISTRO;vecino_pecsa_thiessen_fe;sc
10,370000;0;0;0;0,14285714
10,890000;0;0;0;0,32142857
 9,340000;0;0;0;0,25000000
10,790000;0;0;0;0,62500000
11,040000;0;0;0;0,17857143
11,390000;0;0;0;0,22857143
 9,680000;0;0;0;0,16666667
10,390000;0;0;0;0,35000000
10,550000;0;0;0;0,36000000
11,290000;0;0;0;0,20000000
11,070000;0;0;0;0,28571429
 9,840000;0;0;0;0,20000000
11,295000;0;0;0;0,22222222
11,550000;0;0;0;0,37142857
12,075000;0;0;0;0,23809524
10,590000;0;0;0;0,23333333
10,890000;0;0;0;0,54166667
10,780000;0;0;0;0,33333333
10,990000;0;0;0;1,10000000
 9,940000;0;0;0;0,95000000
10,660000;0;0;0;0,25000000
10,350000;0;0;0;0,15000000
 9,660000;0;0;0;0,12500000
10,450000;0;0;0;0,19047619
10,190000;0;0;0;0,25714286
10,690000;0;0;0;0,33333333
11,150000;0;0;0;0,52777778
10,350000;0;0;0;0,16666667
10,580000;0;0;0;0,25000000
11,090000;0;0;0;0,20000000
10,750000;0;0;0;0,11111111
11,190000;0;0;0;0,63333333
 9,955000;0;0;0;0,16666667
10,790000;0;0;0;0,14285714
10,550000;0;0;0;0,16326531
11,190000;0;0;0;0,35000000
11,390000;0;0;0;0,20000000
10,390000;0;0;0;0,18750000
11,290000;0;0;0;0,21428571
10,690000;0;0;0;0,22222222
11,282500;0;0;0;0,14285714
10,490000;0;0;0;0,26562500
10,735000;0;0;0;1,10000000
10,960000;0;0;0;0,11111111
10,690000;0;0;0;0,15625000
10,268333;0;0;0;1,00000000
 9,820000;0;0;0;0,18750000
10,290000;0;0;0;0,18367347
10,680000;0;0;0;0,33333333
10,690000;0;0;0;0,19444444
10,340000;0;0;0;0,14285714
10,530000;0;0;0;0,41666667
10,340000;0;0;0;0,16666667
10,950000;0;0;0;0,31250000
10,180000;0;0;0;0,18367347
10,690000;0;0;0;0,11111111
10,450000;0;0;0;0,16326531
10,500000;0;0;0;0,14814815
10,070000;0;0;0;0,23333333
10,990000;0;0;0;0,54285714
11,350000;0;0;0;0,18367347
11,290000;0;0;0;0,14285714
10,170000;0;0;0;0,14062500
11,070000;0;0;0;0,44000000
 9,990000;0;0;0;0,11111111
10,150000;0;0;0;0,12500000
10,190000;0;0;0;0,28571429
10,450000;0;0;0;0,10000000
10,080000;0;0;0;0,28571429
 9,690000;0;0;0;0,14285714
10,890000;0;0;0;0,30000000
 9,990000;0;0;0;0,17460317
 9,840000;0;0;0;0,22448980
10,030000;0;0;0;0,20000000
10,390000;0;0;0;0,12500000
10,200000;0;0;0;0,20000000
 9,860000;0;0;0;0,16666667
10,190000;0;0;0;0,25000000
11,350000;0;0;0;0,17857143
10,490000;0;0;0;0,16666667
11,150000;0;0;0;0,55555556
 9,980000;0;0;0;0,16071429
10,490000;0;0;0;0,12500000
11,250000;0;0;0;0,25714286
 9,850000;0;0;0;0,16071429
