codigo_de_osinergmin,razon_social,direccion,bandera,lat,lon
9113,COESTI S.A.,AV. JAVIER PRADO OESTE N° 1895 ESQUINA CALLE LOS CASTAÑOS,PRIMAX,-12.094975,-77.050375
16643,ESTACION DE SERVICIO AVIACION S.A.C.,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,PECSA,-12.093893,-77.002982
16643,ESTACION DE SERVICIOS AVIACION S.A.C.,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,PECSA,-12.093893,-77.002982
14693,REPSOL COMERCIAL S.A.C. - ( TIKY TOO ),AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,REPSOL,-12.092135,-77.013459
18567,REPSOL COMERCIAL S.A.C.,JOSE GALVEZ BARRENECHEA Nº 520,REPSOL,-12.092135,-77.013459
7042,A.B.G. S.A.C.,AV. DOS DE MAYO  1340 - 1380,REPSOL,-12.092135,-77.044943
14693,REPSOL COMERCIAL S.A.C.,AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,REPSOL,-12.092135,-77.013459
7042,REPSOL COMERCIAL S.A.C,"AV. DOS DE MAYO  1340 - 1380, URB. RISSO",REPSOL,-12.092135,-77.044943
9080,SOCIEDAD ROALEZ S.A.C.,AV. ARENALES Nº 1700,PETROPERU,-12.081732,-77.036173
9080,AVS ASOCIADOS S.A.C.,AV. ARENALES Nº 1700,PETROPERU,-12.081732,-77.036173
7955,COESTI S.A.,AV. LA MARINA N° 2185  (AV. LA MARINA INT. AV. RIVA AGUERO Y CALLE 39),PRIMAX,-12.078484,-77.084329
7955,COESTI S.A.,"AV. LA MARINA N° 2185, ESQUINA AV. RIVA AGÜERO",PRIMAX,-12.078484,-77.084329
63899,CORPORACION LUMAR S.A.C,JR. HUARAZ N° 1484 - 1494 ESQUINA CON JR. RESTAURACION,INDEPENDIENTE,-12.064626,-77.048739
63899,ESCOH S.A.C.,JR. HUARAZ N° 1484 - 1494 ESQUINA CON JR. RESTAURACION,INDEPENDIENTE,-12.064626,-77.048739
63899,CORPORACION LUMAR S.A.C.,JR. HUARAZ N° 1484 - 1494 ESQUINA CON JR. RESTAURACION,INDEPENDIENTE,-12.064626,-77.048739
19944,PETROCORP S.A.,AV. REPUBLICA DE VENEZUELA N° 1315,REPSOL,-12.055631,-77.052621
19944,REPSOL COMERCIAL S.A.C.,AV. REPUBLICA DE VENEZUELA N° 1315,REPSOL,-12.055631,-77.052621
8224,REPSOL COMERCIAL S.A.C.,ESQ. AV. ZORRITOS Y AV. TINGO MARIA,REPSOL,-12.049292,-77.05362
8224,GLOBAL FUEL S.A.,ESQ. AV. ZORRITOS Y AV. TINGO MARIA,REPSOL,-12.049292,-77.05362
42769,OPERACIONES ARGUS S.A.C.,"AV. NICOLAS DUEÑAS N° 606, 610, 616 (ANTES AV. NICOLAS DUEÑAS N° 590. CDRA 17 DE LA AV. ARGENTINA)",INDEPENDIENTE,-12.04225,-77.065836
42769,REPSOL COMERCIAL S.A.C.,"AV. NICOLAS DUEÑAS N° 606, 610, 616 (ANTES AV. NICOLAS DUEÑAS N° 590. CDRA 17 DE LA AV. ARGENTINA)",NA,-12.04225,-77.065836
