codigo_de_osinergmin,grifo_distancia,distancia,distancia_min
17947,17867,0.5088596031942977,0.5088596031942977
14693,8336,0.5172240399721669,0.5172240399721669
16600,17867,0.5212710803572801,0.5212710803572801
6751,19958,0.5277370724960606,0.5277370724960606
18879,15692,0.5314470013767262,0.5314470013767262
8157,17860,0.5360874645407732,0.5360874645407732
17860,8157,0.5360874645407732,0.5360874645407732
18821,7054,0.5368761375714118,0.5368761375714118
62992,14693,0.5388058649064421,0.5388058649064421
19987,38667,0.5689058144210604,0.5689058144210604
6771,9539,0.5720001716351726,0.5720001716351726
9128,7158,0.5728357191600177,0.5728357191600177
18567,14693,0.5770207148640892,0.5770207148640892
6754,106767,0.5849184116507034,0.5849184116507034
7096,7800,0.5873524813537808,0.5873524813537808
7800,7096,0.5873524813537808,0.5873524813537808
21665,7128,0.6099703992367796,0.6099703992367796
7046,35059,0.6195263178872559,0.6195263178872559
15215,21665,0.6283133394701361,0.6283133394701361
6785,7109,0.6337765163045312,0.6337765163045312
9021,19951,0.6616360168953934,0.6616360168953934
7276,18881,0.6913672273295973,0.6913672273295973
35025,8344,0.7089976635922921,0.7089976635922921
14754,7124,0.7155692014347389,0.7155692014347389
9355,16619,0.7186175737590894,0.7186175737590894
16619,9355,0.7186175737590894,0.7186175737590894
8153,43627,0.7346055694533944,0.7346055694533944
7310,16622,0.7441259756222287,0.7441259756222287
16643,21055,0.7487435769633236,0.7487435769633236
21055,16643,0.7487435769633236,0.7487435769633236
8063,8132,0.752024083761486,0.752024083761486
8132,8063,0.752024083761486,0.752024083761486
18818,16645,0.7872874391757739,0.7872874391757739
8235,16817,0.8051221172251419,0.8051221172251419
9477,18828,0.8127319369050584,0.8127319369050584
18828,9477,0.8127319369050584,0.8127319369050584
9423,18821,0.8204320025443773,0.8204320025443773
8069,21030,0.8313038615439606,0.8313038615439606
9584,15207,0.84262654883052,0.84262654883052
9514,21054,0.8540156141576821,0.8540156141576821
18866,38662,0.9155902192662984,0.9155902192662984
38662,18866,0.9155902192662984,0.9155902192662984
96646,18828,0.9176242610002203,0.9176242610002203
9577,14682,0.9326815893645345,0.9326815893645345
14646,9113,0.945400903946927,0.945400903946927
18819,6751,0.9976860497186881,0.9976860497186881
6837,34770,0.9986212786715596,0.9986212786715596
34770,6837,0.9986212786715596,0.9986212786715596
18878,18550,1.0340696017417976,1.0340696017417976
36832,82903,1.0529663034600683,1.0529663034600683
40709,8268,1.0745833027386533,1.0745833027386533
19977,6780,1.4185192006634924,1.4185192006634924
38208,16641,1.586913775304836,1.586913775304836
38507,V231,1.6748915300917715,1.6748915300917715
7026,38507,1.8478972929818125,1.8478972929818125
7181,9364,3.886035127335948,3.886035127335948
