"","codigo_de_osinergmin","razon_social","direccion","distrito","orden_original","bandera","glp","gnv","llanteria","islas_comb_liq","mecanico","aceite","lavado","tienda","cajero","lat","lon","tipo","tipo_bandera","con_glp","con_gnv","grifo_mas_cercano","distancia_min","distancia_avg","num_grifos_cerc","vecino_pecsa_dist","num_vecinos_pecsa","sc_pre","sc_post","tiene_mecanico","producto","fecha","mes","año","precio_de_venta","pop_2017","densidad_2017","ingresos_2012","sc","COMPRADA","vecino_pecsa_thiessen"
"21",34770,"REPSOL COMERCIAL S.A.C.","ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA","ATE",2,"REPSOL",3,4,1,4,0,0,0,1,1,-12.059816,-76.951354,"PROPIA","PROPIA REPSOL",1,1,21007,0.726603365131802,1.09297073443536,10,0,0,0.166666666666667,0.166666666666667,0,"DIESEL",2018-10-01,10,2018,12.65,661786,8515,922.61,0.166666666666667,0,0
"22",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-02-01,2,2017,11.2433333333333,166657,19068,1080.85,0.333333333333333,0,0
"23",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-03-01,3,2017,11.2433333333333,166657,19068,1080.85,0.333333333333333,0,0
"24",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-04-01,4,2017,11.2433333333333,166657,19068,1080.85,0.333333333333333,0,0
"25",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-05-01,5,2017,11.2433333333333,166657,19068,1080.85,0.333333333333333,0,0
"26",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-06-01,6,2017,11.2433333333333,166657,19068,1080.85,0.333333333333333,0,0
"27",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-07-01,7,2017,10.89,166657,19068,1080.85,0.333333333333333,0,0
"28",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-08-01,8,2017,10.79,166657,19068,1080.85,0.333333333333333,0,0
"29",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-09-01,9,2017,11.0233333333333,166657,19068,1080.85,0.333333333333333,0,0
"30",9464,"COESTI S.A.","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","LA VICTORIA",3,"PRIMAX",2,6,1,8,0,0,1,1,1,-12.08373,-77.012545,"PROPIA","PROPIA PRIMAX",1,1,100155,0.137895120567605,0.849654822182959,13,0,0,0.333333333333333,0.333333333333333,1,"DIESEL",2017-10-01,10,2017,11.0435714285714,166657,19068,1080.85,0.333333333333333,0,0
