codificador,codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n,bandera,glp,gnv,llanteria,islas_comb_liq,mecanico,aceite,lavado,tienda,cajero,en_avenida_principal,coordenadas,revisar
VM,9021,OPERADORES DE ESTACIONES S.A.C.,20535614548,AV. CIRCUNVALACION Nº 1386,LA VICTORIA,1074,,,,,,,,,,,,,
,9632,SEGUNDO BELLO RAMIREZ,10103792946,"ESQ. AV. CANTA CALLAO CON AV. LA CORDIALIDAD. MZ. A-5 LT. 17, URB. PRO-2DA ETAPA",LOS OLIVOS,1074,,,,,,,,,,,,,
,8132,INVERSIONES Y COMERCIALIZACION MAKA S.A.,20160404796,AV. JAVIER PRADO ESTE N° 4885  URB. CAMACHO,LA MOLINA,1064,,,,,,,,,,,,,
DU,18351,ASESORIA COMERCIAL S.A.,20100094569,AV REPUBLICA DE PANAMA  3690-3696,SAN ISIDRO,3148,Primax,4,4,0,6,0,1,1,1,0,,"-12.101517, -77.019102",
DUC,16796,PETRO EXPLORIUM S.A.C.,20523706803,LOTE N° 08 MZ. M URB. LA CAMPIÑA 3ERA ETAPA,CHORRILLOS,478,Repsol,0,0,1,6,0,0,1,1,0,0,"-12.179755, -76.998033",
,9519,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,20511230935,CARRETERA PANAMERICANA NORTE KM. 36.5,PUENTE PIEDRA,1043,,,,,,,,,,,,,
DU,42755,ANEGADA S.A.C.,20109284786,AV. JAVIER PRADO ESTE  N° 311,SAN ISIDRO,1239,Primax,6,0,0,0,0,0,0,1,1,,"-12.091523, -77.031008",
,8228,COESTI S.A.,20127765279,AV. ARGENTINA N° 1801,LIMA,1038,,,,,,,,,,,,,
,9512,GRIFO DENNIS S.A.C.,20109980855,"AV. CANTA CALLAO MZ.G LT.4, URB. LOS HUERTOS DEL NARANJAL",SAN MARTIN DE PORRES,1036,,,,,,,,,,,,,
,18882,REPSOL COMERCIAL S.A.C.,20503840121,"AV. TUPAC AMARU, ESQ. AV. TOMAS VALLE",INDEPENDENCIA,1033,,,,,,,,,,,,,
VM,19953,GAZEL PERU S.A.C,20511995028,"AV. 28 DE JULIO N° 2315, ESQ. CON JR. PARINACOCHAS",LA VICTORIA,1029,,,,,,,,,,,,,
,7046,CORPORACION BLUE GAS S.A.C.,20505020660,AV. PRIMAVERA Nº 1695 - CENTRO COMERCIAL MONTERRICO,SANTIAGO DE SURCO,1025,,,,,,,,,,,,,
,14706,ESTACION PETROGAS CAMPOY S.A.C.,20565685652,AV. LA PRINCIPAL (ANTES AV. CAMPOY) MZ. B LOTE 5,SAN JUAN DE LURIGANCHO,1023,,,,,,,,,,,,,
DUC,16643,ESTACION DE SERVICIO AVIACION S.A.C.,20414668713,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,SAN BORJA,604,Pecsa,0,0,1,6,0,1,0,1,0,0,"-12.093893, -77.002982",
DUC,16643,ESTACION DE SERVICIOS AVIACION S.A.C.,20414668713,INTERSECCION DE LA AV. SAN BORJA NORTE Y LA AV. AVIACION N° 2680,SAN BORJA,200,Pecsa,0,0,1,6,0,1,0,1,0,0,"-12.093893, -77.002982",
,37334,HI GAS S.A.C,20507463305,AV PROLOGACIÓN JUAN LECAROS S/N ESQ. AV COPACABANA - URB LOS CRISANTEMOS,PUENTE PIEDRA,1014,,,,,,,,,,,,,
DU,6806,JOVEME S.A.C.,20512767011,AV. REPUBLICA DE PANAMA CUADRA  32,SAN ISIDRO,1000,Repsol,0,0,1,6,0,0,0,1,0,,"-12.096127, -77.020899","Sí, luego Primax"
DU,16619,INVERSIONES BOREAL S.A.,20293389811,AV. AUGUSTO PEREZ ARANIBAR (ANTES AV. DEL EJERCITO) N° 2199 ESQ. AV. SALAVERRY,SAN ISIDRO,1040,Primax,0,0,0,4,0,0,0,1,1,,"-12.103330, -77.058232",
DUC,18550,REPSOL COMERCIAL S.A.C.,20503840121,"AV. ALAMEDA SUR INTERSECCION CON LA AV. SAN MARCOS TERCERA ETAPA, SECTOR 2, MZ. C3-1 LT.1",CHORRILLOS,1443,Repsol,0,0,1,6,0,1,1,1,1,0,"-12.196624, -77.010253",
,6809,SERVICENTRO JOSE GALVEZ S.A.,20196437194,AV. LIMA N° 1455,VILLA MARIA DEL TRIUNFO,998,,,,,,,,,,,,,
VM,45439,MERRILL PERU ENTERPRISES S.A.C.,20510531923,AV. JAIME BAUZATE Y MEZA CUADRA 5,LA VICTORIA,993,,,,,,,,,,,,,
DUC,15234,ADMINISTRADORA 6 DE AGOSTO S.A.,20100942675,AV. DEL EJERCITO N° 1295,MIRAFLORES,799,Repsol,0,0,1,4,0,1,0,1,0,1,"-12.110504, -77.051337",
,45240,ESTACION DE SERVICIOS GRIFO SANTA EULALIA S.R.L.,20530682197,"AV. UNIVERSITARIA ESQUINA CON LA AV. NARANJAL, MANZANA A, LOTES 1, 2, 3, 4, 5, 23, 24, 25 Y 26 DEL A. H. 19 DE MAYO",LOS OLIVOS,990,,,,,,,,,,,,,
,19977,YAVA S.A.C.,20107034413,AV. JUAN PABLO II N° 1294-1298,SANTIAGO DE SURCO,989,,,,,,,,,,,,,
,6740,CONSORCIO EL NORTEÑO S.A.C,20601199824,CARRETERA PANAMERICANA NORTE KM. 31.7,PUENTE PIEDRA,988,,,,,,,,,,,,,
DUC,18828,ESTACION DE SERVICIOS EL SOL SAC.,20466090345,AV. SAN JUAN MZ. B-1 LT. 01- TUPAC AMARU DE VILLA,CHORRILLOS,311,PetroPerú,0,0,0,4,0,0,0,0,0,0,"-12.191950, -76.983740",
,7089,ESTACION CORMAR S.A.,20118180306,AV. CARRETERA CENTRAL S/N KM. 2.5 VITARTE ESQ. AV. INGENIEROS URB. BUENOS AMIGOS,ATE,975,,,,,,,,,,,,,
,14637,COESTI S.A.,20127765279,"ESQUINA DE LA AV. UNIVERSITARIA Y MEXICO CALLE L MZ. D LOTE 34,35,36 URB. SANTA ISOLINA 2DA ETAPA",COMAS,974,,,,,,,,,,,,,
,41547,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. JORGE CHAVEZ N° 870 - 877, ESQ. AV. ROOSVELT",SANTIAGO DE SURCO,968,,,,,,,,,,,,,
,44240,TERMINAL TERRESTRE ICA S.A.,20144298161,CARRETERA PANAMERICANA SUR KM 19.8,VILLA EL SALVADOR,966,,,,,,,,,,,,,
,9514,AUTOSERVICIOS SAN ISIDRO S.R.L.,20109284948,AV. BENAVIDES 4295 - URB. HIGUERETA,SANTIAGO DE SURCO,962,,,,,,,,,,,,,
DU,14646,COESTI S.A.,20127765279,AV. FAUSTINO SANCHEZ CARRION Nº 471 ESQUINA CON JR. ESTADOS UNIDOS,JESUS MARIA,2471,Pecsa,2,4,0,4,0,0,0,1,1,,"-12.090400, -77.057710",
DU,17879,ESTACIONES DE SERVICIO GASOLINAS DE AMERICA SAC,20536053621,AV. GENERAL GARZON N° 688,JESUS MARIA,998,Petro America,0,0,1,4,0,0,1,1,0,,"-12.066808, -77.045460",
,20130,GRIFO VALCARD S.R.L.,20501500209,"AV. SANTA ROSA DE LIMA MZ. K1 LOTES 17-18, URB. LA HUAYRONA",SAN JUAN DE LURIGANCHO,954,,,,,,,,,,,,,
,61656,GASPETROLEO S.A.C.,20513379138,"AV. NICOLAS AYLLON, ESQUINA CON AV. LA MOLINA",ATE,946,,,,,,,,,,,,,
,6960,EL GRIFITO S.A.,20145245681,AV. TOMAS VALLE N° 2053 ¿ URB. SAN PEDRO DE GARAGAY,SAN MARTIN DE PORRES,945,,,,,,,,,,,,,
,17946,E.G.A. EMPRESARIAL S.A.C.,20266569824,AV. EL DERBY 109 ESQUINA CON LA AV. EL POLO,SANTIAGO DE SURCO,938,,,,,,,,,,,,,
,9513,GRIFO TRAPICHE S.R.L.,20193386220,"AV. HEROES DEL ALTO CENEPA N° 697, LOTIZACIÓN FUNDO CHACRA CERRO",COMAS,937,,,,,,,,,,,,,
DU,19944,PETROCORP S.A.,20372525496,AV. REPUBLICA DE VENEZUELA N° 1315,BREÑA,852,Repsol,0,0,1,6,1,1,1,1,1,,"-12.055631, -77.052621",
DUC,15234,REPSOL COMERCIAL S.A.C.,20503840121,AV. DEL EJERCITO N° 1295,MIRAFLORES,268,Repsol,0,0,1,4,0,1,0,1,0,1,"-12.110504, -77.051337",
,9536,RAMPOIL S.A.C.,20510591748,"CALLE DOMINGO ANGULO N° 131, EX. ALAMEDA DE LOS BOBOS, LT. 01 MZ. B, ESQUINA LA HUERTA",RIMAC,929,,,,,,,,,,,,,
,7179,COESTI S.A.,20127765279,CARRETERA PANAMERICANA SUR KM. 29.5,LURIN,928,,,,,,,,,,,,,
,8344,E.G.A. EMPRESARIAL S.A.C.,20266569824,"AV. EL DERBY N° 118, MZ. A, LOTE 5, URB. EL DERBY",SANTIAGO DE SURCO,920,,,,,,,,,,,,,
,83174,ESTACION DE SERVICIOS EL TREN S.R.L.,20492647633,CARRETERA PANAMERICANA SUR KM. 24,LURIN,916,,,,,,,,,,,,,
,19956,COESTI S.A.,20127765279,ESQ. AV. ZORRITOS S/N. CON MIGUEL BAQUERO N° 498,LIMA,915,,,,,,,,,,,,,
DU,6754,GRIFO SAN IGNACIO S.A.C.,20100075858,AV. VENEZUELA Nº 4647,SAN MIGUEL,913,Repsol,0,0,1,4,0,1,1,1,0,,"-12.061855, -77.087545",
,17870,ESTACION DE SERVICIO MONACO S.R.L. (OPERADOR EXLUSIVO DE C.L. Y GLP),20420076178,AV. NICOLAS DUEÑAS Nº 308 - 310 ESQ. CON AV. ENRIQUE MEIGGS,LIMA,912,,,,,,,,,,,,,
,7157,BAC PETROL S.A.C.,20387366475,AV. VICTOR RAUL HAYA DE LA TORRE N° 2237,ATE,903,,,,,,,,,,,,,
DU,6938,ABA SINGER & CIA. S.A.C.,20100032881,AV. HUSARES DE JUNIN ESQ. AV. HUASCAR,JESUS MARIA,606,Aba Singer,0,0,0,4,0,0,0,0,0,,"-12.079029, -77.048683",
,7309,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. UNIVERSITARIA ESQ. AV. ANTUNEZ DE MAYOLO MZ. B LT. 1 Y 2,SAN MARTIN DE PORRES,899,,,,,,,,,,,,,
,38158,MULTISERVICIOS SANTA URSULA S.A.C.,20501420949,ESQUINA DE LA AV. CENTRAL CON LA AV. HUANDOY MZ. H LT. 12 13 Y 14,LOS OLIVOS,895,,,,,,,,,,,,,
,38662,GRIFOS ESPINOZA S.A.,20100111838,"AUTOPISTA PANAMERICANA SUR KM 18.5, SUB LOTE 29 - A, FUNDO VILLA BAJA",SAN JUAN DE MIRAFLORES,895,,,,,,,,,,,,,
,9149,SERVI GRIFOS S.A.,20100167892,CARRETERA PANAMERICANA SUR KM. 14.00 - URB. SAN JUAN,SAN JUAN DE MIRAFLORES,887,,,,,,,,,,,,,
DU,6957,COESTI S.A.,20127765279,AV. LA MARINA N° 2001 ESQ. CON UNIVERSITARIA,SAN MIGUEL,882,Primax,0,0,0,6,0,0,1,0,0,,"-12.078740, -77.081999",
,8033,SUR EXPORT E.I.R.L.,20192952574,"PROLONGACION AV. DEFENSORES DE LIMA N° 893-895 Y CALLE CERRO AZUL N° 227, 233, 237, URB. SAN IGNACIO DE MONTERRICO",SAN JUAN DE MIRAFLORES,880,,,,,,,,,,,,,
,16618,PACHACUTEC INVERSIONES GENERALES S.R.L.,20552147279,ESQUINA AV. PACHACUTEC Y AV. EL SOL MZ. E  LT. 1 PARQUE INDUSTRIAL,VILLA EL SALVADOR,861,,,,,,,,,,,,,
DU,39783,ENERGIGAS S.A.C.,20506151547,"AV. LA MARINA N° 589, ESQUINA CON AV. SUCRE N° 1201-1203",PUEBLO LIBRE,56,Energigas,2,4,0,2,0,0,0,1,1,,"-12.083074, -77.067266",
DU,19944,REPSOL COMERCIAL S.A.C.,20503840121,AV. REPUBLICA DE VENEZUELA N° 1315,BREÑA,350,Repsol,0,0,1,6,1,1,1,1,1,,"-12.055631, -77.052621",
,44472,TORREBLANCA INVERSIONES GENERALES S.R.L.,20543971864,"CARRETERA LIMA - CANTA KM. 23, PARCELA 283 (EX-FUNDO CAUDEVILLA - HUACOY PUNCHAUCA)",CARABAYLLO,846,,,,,,,,,,,,,
DU,6792,ESTACION DE SERVICIOS CORPAC S.A.,20298569311,AV. ENRIQUE CANAVAL MOREYRA N° 202,SAN ISIDRO,845,Primax,0,0,1,4,0,0,0,1,1,,"-12.097080, -77.023794",
,8069,ESTACION DE SERVICIO SANTA ROSA S.R.L.,20258113994,AV. SANTA ROSA N° 274,SANTA ANITA,837,,,,,,,,,,,,,
,21446,LIMA BANDA S.A.C.,20101312519,AV. CARLOS IZAGUIRRE 220 Z.I. PANAM. NORTE,INDEPENDENCIA,830,,,,,,,,,,,,,
,17949,ASIA GRIFOS Y SERVICIOS GENERALES S.A.C. - AGRISER S.A.C.,20513679875,AV. PUENTE PIEDRA N° 1218 KM.32 PANAMERICANA NORTE,PUENTE PIEDRA,829,,,,,,,,,,,,,
DU,9537,GRIFO DENNIS S.A.C.,20109980855,AV. PETIT THOUARS N° 3929,SAN ISIDRO,603,Primax,0,0,0,4,0,1,1,1,0,,"-12.101167, -77.030758",
,19968,JOSCHAM S.A.C.,20205799193,"AV. LOS PROCERES Nº 199 - 199A, ESQUINA CON JR. GAMARRA",RIMAC,827,,,,,,,,,,,,,
,9616,GAZEL PERU S.A.C.,20511995028,"AV. LIMA ESQUINA AV. MARIA REICHE, MZ. C, LOTE 17, AA.HH. VILLA LA PAZ",VILLA EL SALVADOR,824,,,,,,,,,,,,,
,9572,LOS CIRUELOS S.A.C.,20507767860,"AV. LOS PROCERES DE LA INDEPENDENCIA N° 2901,MZ. I LT. 10",SAN JUAN DE LURIGANCHO,811,,,,,,,,,,,,,
,17868,INVERSIONES JIARA S.A.C.,20551615856,"AV. LAS TORRES N° 508, ESQUINA CON EL JR. MARISCAL ORBEGOSO, URB. EL PINO",SAN LUIS,808,,,,,,,,,,,,,
DUC,15692,ABA SINGER & CIA. S.A.C.,20100032881,COMANDANTE ESPINAR CUADRA 8,MIRAFLORES,669,Aba Singer,0,0,0,8,0,0,0,0,0,0,"-12.110938, -77.036820",
,14872,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. JOSE CARLOS MARIATEGUI, ESQ. AV. REVOLUCION. SECTOR 3 GRUPO 15 MZ. A, LTS. 12 Y 13",VILLA EL SALVADOR,800,,,,,,,,,,,,,
DUC,16602,REPSOL COMERCIAL S.A.C,20503840121,AV. PASEO DE LA REPUBLICA INTERSECCION CON LA AV. ANGAMOS N° 498,MIRAFLORES,1467,Repsol,0,0,1,6,0,0,0,1,1,1,"-12.113814, -77.026514",
,36832,VAL TRADING S.A.C.,20100625513,AV. SEBASTIAN LORENTE N° 698,LIMA,797,,,,,,,,,,,,,
,19958,GRIFO SAN IGNACIO S.A.C.,20100075858,AV. ARENALES N° 881. ESQ. EMILIO FERNANDEZ,LIMA,791,,,,,,,,,,,,,
,43777,ESTACION DE SERVICIO SANTA ANITA S.A.C.,20469727085,AV. METROPOLITANA MZ. C-8 LOTE 20,SANTA ANITA,789,,,,,,,,,,,,,
DU,6935,ABA SINGER  & CIA. S.A.C.,20100032881,AV. MARIATEGUI CUADRA 15,JESUS MARIA,578,Aba Singer,0,0,0,6,0,0,0,0,0,,"-12.078051, -77.051944",
,8820,ESTACION DE SERVICIOS VAMA S.A.C.,20451706323,AV. DE LOS HEROES N° 1187 - 1189,SAN JUAN DE MIRAFLORES,786,,,,,,,,,,,,,
,82903,INVERSIONES ARICA S.A.C.,20102013817,AV. GRAU N° 1308 ESQ JR. HUANUCO Nª 1101,LIMA,784,,,,,,,,,,,,,
,34801,GRIFO NUEVO LURIN S.C.R.L.,20503089794,CALLE 5 MZ. F LT 1 URB. PROVIESA UNIVERSAL (NUEVO LURIN),LURIN,778,,,,,,,,,,,,,
,7563,ELENA JULIA SALAZAR DE LA CRUZ,10091330101,"LOS PORTALES DE JAVIER PRADO 1RA. ETAPA MZ ""G"" LT. 1 Y 2",ATE,778,,,,,,,,,,,,,
,7524,LUBRIGAS S.R.LTDA.,20161800920,CARRETERA CENTRAL KM. 2.5. LOTE 6-A1,ATE,773,,,,,,,,,,,,,
,19988,INVERSIONES GARAY S.R.L.,20505499761,"AV. HUANCARAY MZ. A-6, LOTES DEL 44 AL 47, URB. LAS FLORES",SANTA ANITA,770,,,,,,,,,,,,,
,39248,ESTACION DE SERVICIOS LURIN S.A.C.,20478967111,"ANTIGUA CARRETERA PANAMERICANA SUR KM. 31, MZ. C LT.2 HUERTOS DE VILLENA",LURIN,759,,,,,,,,,,,,,
DU,18307,APOLLOS MARKET S.A.C.,20508896701,AV. PROLONGACION IQUITOS CDRA. 25 S/N.,LINCE,751,Independiente,0,0,0,8,0,0,0,0,0,,"-12.089008, -77.029365",
,19957,EXPLORIUM S.A.C.,20514303283,AV. VENEZUELA N° 1829 INTERSECCION AV. TINGO MARIA,LIMA,748,,,,,,,,,,,,,
,8811,JEVARO S.A.C.,20471203816,"AV. 200 MILLAS ESQ. CON AV. MICAELA BASTIDAS, MZ. C5, LOTE 12,GRUPO RESIDENCIAL 31 SECTOR 3",VILLA EL SALVADOR,747,,,,,,,,,,,,,
,14725,KYT S.A.C,20111629758,AV. PERU N° 3207 ANTES ESQUINA DE CAMANA CON AV. PERU,SAN MARTIN DE PORRES,746,,,,,,,,,,,,,
,86266,ENERGIGAS S.A.C,20506151547,AV. JAVIER PRADO ESTE Nª 5411,LA MOLINA,745,,,,,,,,,,,,,
DUC,16645,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. SAN LUIS Nº 2480,SAN BORJA,1014,Pecsa,0,0,0,8,0,0,0,1,1,1,"-12.098289, -76.995178",
VM,43627,GRIFOS SOYUZ S.A.,20557125737,AV. MEXICO N° 333,LA VICTORIA,737,,,,,,,,,,,,,
,8235,SHENANDOA S.A.,20147847727,AV. CAMINOS DEL INCA N° 194  Y CALLE PUNTA PEJERREY,SANTIAGO DE SURCO,736,,,,,,,,,,,,,
,39167,OPERACIONES & SERVICIOS GENERALES S.A.,20210975862,CIRCUITO DE PLAYAS - PLAYA MARBELLA,MAGDALENA DEL MAR,723,,,,,,,,,,,,,
,34179,INVERSIONES MICE S.A.C.,20537605899,"AV. MARIA REYCHE Y SEPARADORA INDUSTRIAL IV ETAPA, URB. PACHACAMAC",VILLA EL SALVADOR,717,,,,,,,,,,,,,
DUC,16817,ESTACION DE SERVICIOS MONTE EVEREST S.A.C.,20511193045,"AV. AVIACION N° 4269,4285 Y CALLE CLARA BARTON N° 121",SURQUILLO,2201,Independiente,0,4,1,4,0,0,0,1,0,1,"-12.117910, -76.998395",
,34649,ESTACION DE COMBUSTIBLES HUARAZ S.A.C.,20517767396,"ESQ. AV. DE LA FRATERNIDAD CON LA CALLE 19, MZ W-1, LOTES 15-16, AAHH. ENRIQUE MONTENEGRO",SAN JUAN DE LURIGANCHO,684,,,,,,,,,,,,,
DU,9080,SOCIEDAD ROALEZ S.A.C.,20519285046,AV. ARENALES Nº 1700,LINCE,684,PetroPeru,0,0,0,6,0,0,0,0,0,,"-12.081732, -77.036173",
,40437,GRUPO ALMONACID S.A.C.,20524280419,"AV. LOS PROCERES MZ . NN-2, LOTES 1-6 URB. PUERTA DE PRO 2DA ETAPA",LOS OLIVOS,680,,,,,,,,,,,,,
,17869,SERVICENTRO MUSA E.I.R.L.,20264395586,"AV. LA MOLINA ESTE Nº 2295, ESQUINA PUNTA PEJERREY - URB.  EL SOL DE LA MOLINA",LA MOLINA,677,,,,,,,,,,,,,
,19946,SERVICENTRO CHACLACAYO S.A.C.,20459679309,"CARRETERA CENTRAL KM. 21.75, SECTOR PAMPA DE MORON",CHACLACAYO,674,,,,,,,,,,,,,
,16713,FERRETERIA LOS HUERTOS DE SANTA ROSA S.A.C.,20508970791,"ANTIGUA PANAMERICANA SUR, ESQ. CON AV. LOS ALAMOS MZ. A, LOTE 1",LURIN,671,,,,,,,,,,,,,
DUC,16670,VELDI S.A,20340226748,INTERSECCION DE LA AV. GENERAL CORDOVA N° 1025 Y AV. HIPOLITO UNANUE N° 370.,MIRAFLORES,150,Primax,0,0,0,4,0,1,1,1,0,0,"-12.109508, -77.048304",
,19973,GRIFOS COPA S.A.C.,20555367598,"AV. EL SOL ESQUINA CON AV. LOS ALAMOS, MZ. E. LOTES 20B Y 20A-1. URB. CANTO GRANDE",SAN JUAN DE LURIGANCHO,667,,,,,,,,,,,,,
,38192,CONSORCIO KINZUKO S.A.C.,20501683109,"AV. CANTA CALLAO -  MZ. J, LT. 16, 17, 18 Y 19. URB LAS BRISAS",SAN MARTIN DE PORRES,664,,,,,,,,,,,,,
,41728,GRIFOS ESPINOZA S.A.,20100111838,ESQ. AV. MICAELA BASTIDAS Y CALLE 8 MZ I GRUPO 19,VILLA EL SALVADOR,664,,,,,,,,,,,,,
,21660,E & A INVERSIONES S.A.,20292832223,"AV. CENTRAL CDRA. 6, SECTOR 1, GRUPO 3, MZ. J, LTS. 1,2 Y 24",VILLA EL SALVADOR,663,,,,,,,,,,,,,
,61026,INVERSIONES NOBAL S.A.C.,20517308367,"AUTOPISTA MANUEL DEL VALLE MZ.Z, SUB LT.B-1, URB. LOS HUERTOS DE LURIN",LURIN,657,,,,,,,,,,,,,
,6799,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. LEONCIO PRADO N° 780 (PANAMERICANA NORTE KM. 34.5),PUENTE PIEDRA,656,,,,,,,,,,,,,
VM,7010,GUIDO JAIME ARIAS VICUÑA,17125434843,AV. MEXICO N° 1291-1295 ESQUINA CON JR. PARINACOCHAS,LA VICTORIA,654,,,,,,,,,,,,,
DU,14693,REPSOL COMERCIAL S.A.C.,20503840121,AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,SAN ISIDRO,637,Repsol,0,2,1,10,1,1,1,1,1,,"-12.092135, -77.013459",
,19980,GAZEL PERU S.A.C.,20511995028,AV. SAN JUAN N° 895,SAN LUIS,636,,,,,,,,,,,,,
,104494,DELTA ATE E.I.R.L.,20555690534,"AV. NICOLAS AYLLON Nº 3620, CARRETERA CENTRAL ESQUINA CON AV. ATE",ATE,633,,,,,,,,,,,,,
,19959,ESTACION DE SERVICIOS GRIFO SANTA EULALIA S.R.L.,20530682197,AV. 2 DE OCTUBRE MZ. LL-1 LOTES 15 -18,LOS OLIVOS,633,,,,,,,,,,,,,
,7304,ESTACION DE SERVICIO PONCE S.R.L.,20131301244,"COOPERATIVA VIVIENDA EL VALLE MZ. C, LT. 25",SAN JUAN DE LURIGANCHO,614,,,,,,,,,,,,,
,9049,GRUPO REVILLA S.A.C.,20524491461,AV. REVOLUCION. ESQ. AV.   TALARA. SECTOR3 GRUPO 12. MZ. N. LOTES 2. 3. 4 Y 5,VILLA EL SALVADOR,614,,,,,,,,,,,,,
,83665,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. PROCERES DE LA INDEPENDENCIA N° 701 - 709,SAN JUAN DE LURIGANCHO,608,,,,,,,,,,,,,
,21202,AMADA RAQUEL SOTELO RUEDA,10089136844,"ESQ. AV. EL SOL CON AV. PASTOR SEVILLA, SECTOR 2, GRUPO 21-A, MZ. ZC, LT. C",VILLA EL SALVADOR,606,,,,,,,,,,,,,
DU,15223,JAIME OLIVER S.A.C.,20516649578,AV. SALAVERRY ESQ. AV. MARIATEGUI,JESUS MARIA,900,Repsol,0,0,0,4,0,0,0,0,0,,"-12.076514, -77.041838",
DUC,18818,JLF ASOCIADOS S.A.C,20521419661,"AV. SAN BORJA NORTE N° 1415 Y ESQ. CUADRA N° 8  AV. PASEO EL BOSQUE, URB. RAMÓN CASTILLA",SAN BORJA,1021,Primax,0,0,1,4,0,1,1,1,0,0,"-12.096090, -76.988300",
,6808,CORPORACION JULCAN S.A,20506467854,AV. PROCERES DE LA INDEPENDENCIA N° 2556,SAN JUAN DE LURIGANCHO,604,,,,,,,,,,,,,
DU,6780,ASESORIA COMERCIAL S.A.,20100094569,AV. ELMER FAUCETT NO. 384,SAN MIGUEL,3124,Primax,2,6,0,4,0,1,1,1,0,,"-12.067113, -77.097138",
,105599,MULTISERVICIOS ECOGAS S.A.C.,20525166415,"AV. CARAPONGO Y CALLE LOS ROBLES, MZ. D, LOTE 1 ¿ URB. POPULAR NUEVO HORIZONTE CARAPONGO",LURIGANCHO,602,,,,,,,,,,,,,
,8154,SERVICENTRO LA ALAMEDA S.A.C.,20337657037,"AV. CARLOS IZAGUIRRE ESQUINA CON AV. SANTA ROSA MZ. A LOTE 19, URB. LA FLORIDA",SAN MARTIN DE PORRES,601,,,,,,,,,,,,,
,17905,CEPOCAR S.R.L.,20348783743,AV. STA. ROSA N 496 ESQ. CALLE LA PILA,SAN JUAN DE LURIGANCHO,598,,,,,,,,,,,,,
DUC,18828,ESTACION DE SERVICIOS EL SOL S.A.C.,20466090345,AV. SAN JUAN MZ. B-1 LT. 01- TUPAC AMARU DE VILLA,CHORRILLOS,90,PetroPerú,0,0,0,4,0,0,0,0,0,0,"-12.191950, -76.983740",
,18864,INVERSIONES LUCOCIZA S.A.C.,20548742359,AV. PACHACUTEC N° 3601,VILLA MARIA DEL TRIUNFO,597,,,,,,,,,,,,,
,9440,FULL OILS PETRO S.A.C.,20517849368,AV. METROPOLITANA N° 1905,COMAS,596,,,,,,,,,,,,,
DU,6751,REPSOL COMERCIAL S.A.C,20503840121,AVENIDA GENERAL ALVARES DE ARENALES N° 400,JESUS MARIA,1930,Repsol,0,0,1,6,0,0,1,1,1,,"-12.068787, -77.038198",
,19978,GRIVAR S.A.,20184784476,AV DEFENSORES DE LIMA N° 630,SAN JUAN DE MIRAFLORES,584,,,,,,,,,,,,,
,61744,ESTACION DE SERVICIOS VILLA RICA S.R.L.,20507556737,"ESQUINA DE LA AV. LOMAS DE CARABAYLLO - AV. VILLA RICA MZ. A, LOTES 1 Y 2 AAHH. ASOCIACION AGROPECUARIA VILLA RICA",CARABAYLLO,582,,,,,,,,,,,,,
,9429,IMPORTACIONES Y EXPORTACIONES SELVA  S.A.,20263977158,AV. TUPAC AMARU ESQ. CON AV. METROPOLITANA,COMAS,579,,,,,,,,,,,,,
DU,15219,JAIME OLIVER S.A.C.,20516649578,ESQUINA AV. SALAVERRY Y AV. CUBA,JESUS MARIA,786,Repsol,0,0,0,6,0,0,0,0,0,,"-12.075134, -77.041805",
,19991,ESTACION DE SERVICIOS LAS CONCHITAS E.I.R.L.,20342943480,"AV PACHACUTEC Nº 6587 MZ D LOTES N° 14,16, 18-19 SANTA ROSA DE TABLADA DE LURIN",VILLA MARIA DEL TRIUNFO,576,,,,,,,,,,,,,
DUC,16670,VELDI S.A,20340226748,INTERSECCION DE LA AV. GENERAL CORDOVA Y LA AV. PELAYO SAMANAMUD (EX HIPOLITO UNANUE),MIRAFLORES,571,Primax,0,0,0,4,0,1,1,1,0,0,"-12.109508, -77.048304",
,17945,ESTACION DE SERVICIOS NUEVO PROGRESO S.A.C.,20514059196,"AV. PACHACUTEC CON AVENIDA Nº 4. LT. 2, 3, 4, 5. AAHH NUEVO PROGRESO",VILLA MARIA DEL TRIUNFO,570,,,,,,,,,,,,,
,18827,GRIFO SEÑOR DE HUAMANTANGA E.I.R.L.,20424210146,"AV. SAN JUAN, MZ A, LOTE 3A, PAMPA LIBRE, KM. 1.5, CARRETERA AL CENTRO NUCLEAR DE HUARANGAL",PUENTE PIEDRA,569,,,,,,,,,,,,,
