codigo_de_osinergmin,grifo_distancia,distancia,distancia_min,razon_social,distrito,direccion,bandera,coordenadas
9616,17880,0.14325413255939295,0.14325413255939295,TERPEL PERU S.A.C.,VILLA EL SALVADOR,"AV. LIMA ESQUINA AV. MARIA REICHE, MZ. C, LOTE 17, AA.HH. VILLA LA PAZ",INDEPENDIENTE,"-12.239638, -76.912927"
17880,9616,0.14325413255939295,0.14325413255939295,ESTACION DE SERVICIOS VILLA S.A.C.,VILLA EL SALVADOR,"AV. MARIA REICHE S/N SECTOR II,AMPLIACION 4TA. ETAPA, SECTOR 2, MZ. N, LOTE 22. PROG.HABITACIONAL PACHACAMAC",REPSOL,"-12.238346, -76.913016"
33342,114073,0.1500167581536036,0.1500167581536036,COESTI S.A.,LA VICTORIA,AV. AVIACIÓN CDRA 15 S/N OVALO ARRIOLA,PRIMAX,"-12.078842, -77.010577"
114073,33342,0.1500167581536036,0.1500167581536036,RED INTERNACIONAL DE COMBUSTIBLE Y SERVICIO AUTOMOTRIZ S.R.L.,LA VICTORIA,AV. NICOLAS ARRIOLA N° 1003,INDEPENDIENTE,"-12.078145, -77.011759"
8247,19963,0.15042599561543682,0.15042599561543682,ASESORIA COMERCIAL S.A.,MIRAFLORES,AV. EL EJERCITO N° 412-422,PRIMAX,"-12.11639, -77.044831"
19963,8247,0.15042599561543682,0.15042599561543682,REPSOL COMERCIAL S.A.C.,MIRAFLORES,AV. DEL EJERCITO N° 290,REPSOL,"-12.117491, -77.04402"
18704,19981,0.15072227304368677,0.15072227304368677,CORPORACION GEAMAR  S.A.C.,SAN MARTIN DE PORRES,"AV. CARLOS  IZAGUIRRE  MZ. D LTES. 4, 5 Y 6.  URBANIZACION CALIFORNIA",PRIMAX,"-11.989465, -77.104931"
19981,18704,0.15072227304368677,0.15072227304368677,ESTACION SANTA RITA S.A.C.,SAN MARTIN DE PORRES,INTERSECCION DE LA AUTOPISTA CANTA CALLAO Y LA AV. CARLOS IZAGUIRRE,PETROPERU,"-11.989272, -77.106301"
18289,116243,0.1514939781850382,0.1514939781850382,GASBRA S.A.C.,LA VICTORIA,AV. PASEO DE LA REPUBLICA ESQUINA CON AV. ISABEL LA CATOLICA,PECSA,"-12.070411, -77.031148"
116243,18289,0.1514939781850382,0.1514939781850382,CENTROGAS IQUITOS S.A.C.,LA VICTORIA,"AV. IQUITOS 967-969,973-979,983-989-993-997-999 Y AV. ISABEL LA CATÓLICA 201-203,221-229,233",PRIMAX,"-12.070201, -77.029773"
15219,15223,0.15270185876615527,0.15270185876615527,JAIME OLIVER S.A.C.,JESUS MARIA,ESQUINA AV. SALAVERRY Y AV. CUBA,REPSOL,"-12.075134, -77.041805"
15223,15219,0.15270185876615527,0.15270185876615527,JAIME OLIVER S.A.C.,JESUS MARIA,AV. SALAVERRY ESQ. AV. MARIATEGUI,REPSOL,"-12.076514, -77.041838"
8224,21052,0.15865443649381492,0.15865443649381492,REPSOL COMERCIAL S.A.C.,BREÑA,ESQ. AV. ZORRITOS Y AV. TINGO MARIA,REPSOL,"-12.049292, -77.05362"
19952,19951,0.16559068690457387,0.16559068690457387,SERVICENTRO TITI S.A.C.,LA VICTORIA,ESQUINA DE AV. SAN LUIS CON PABLO PATRÓN  120 URB. SAN PABLO,REPSOL,"-12.070859, -77.003376"
31927,116243,0.16668681763244061,0.16668681763244061,REPSOL COMERCIAL S.A.C.,LA VICTORIA,AV. IQUITOS N° 1100. ESQUINA CON JIRON ITALIA N° 100,REPSOL,"-12.071697, -77.029956"
9515,19945,0.16881740616269592,0.16881740616269592,SERVICENTRO SHALOM S.A.C.,LIMA,AV. NACIONES UNIDAS 1222. ESQUINA CON JR. ALEMANIA,PETROPERU,"-12.049312, -77.059888"
19945,9515,0.16881740616269592,0.16881740616269592,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,LIMA,AV. OSCAR R. BENAVIDES N° 1380,PECSA,"-12.047819, -77.059567"
20982,45240,0.17344410816119946,0.17344410816119946,ESTACION DE SERVICIOS LOS OLIVOS S. A. C.,LOS OLIVOS,"AV. UNIVERSITARIA CDRA. 51, ESQUINA CON CALLE A",PRIMAX,"-11.975988, -77.077122"
45240,20982,0.17344410816119946,0.17344410816119946,ESTACION DE SERVICIOS GRIFO SANTA EULALIA S.R.L.,LOS OLIVOS,"AV. UNIVERSITARIA ESQUINA CON LA AV. NARANJAL, MANZANA A, LOTES 1, 2, 3, 4, 5, 23, 24, 25 Y 26 DEL A. H. 19 DE MAYO",PRIMAX,"-11.977387, -77.077841"
